Source,Target,like,retweet,both
707280182038687744,1196514339479597057,True,False,False
1348348950290436096,1196514339479597057,True,False,False
1386421836209172484,1196514339479597057,True,False,False
1419201703845502977,1196514339479597057,True,False,False
587106139,1196514339479597057,True,False,False
1459805660527349760,1196514339479597057,True,False,False
1466249094951682048,1196514339479597057,True,False,False
1444739792411906048,1196514339479597057,True,False,False
1031257391025848323,1196514339479597057,True,False,False
1383783676245274635,1196514339479597057,True,False,False
1496765902678863872,1196514339479597057,True,False,False
1437629111019606017,1196514339479597057,True,False,False
1264090057096540160,1196514339479597057,True,False,False
1439545129182932992,1196514339479597057,True,False,False
1338288391910268929,1196514339479597057,True,False,False
1327874625296949249,1196514339479597057,True,False,False
1466952575316631554,1196514339479597057,True,False,False
1488028227255865344,1196514339479597057,True,False,False
1242114310018564098,1196514339479597057,True,False,False
864265067843420162,1196514339479597057,True,False,False
1290846938720600082,1196514339479597057,True,False,False
1467117724719632389,1196514339479597057,True,False,False
1207161547858087936,1196514339479597057,True,False,False
1465623749999353857,1196514339479597057,True,False,False
95648025,1196514339479597057,True,False,False
1246014218702336000,1196514339479597057,True,False,False
1456359255116861445,1196514339479597057,True,False,False
1428658984165183497,1196514339479597057,True,False,False
